      CASEID, YEAR, CAPPUN, GUNLAW, SEX, ABRAPE, CONFINAN, SATJOB
2006 590,2006,1,0,1,0,3,1
2006 591,2006,1,1,2,2,0,1
2006 592,2006,1,0,1,0,2,1
2006 593,2006,1,1,2,1,0,0
2006 594,2006,0,0,1,0,0,0
2006 595,2006,1,1,2,2,0,1
2006 596,2006,2,0,2,0,1,1
2006 597,2006,0,0,2,0,0,0
2006 598,2006,0,0,1,0,0,0
2006 599,2006,1,0,1,0,3,0
2006 600,2006,0,0,2,0,0,0
2006 601,2006,0,0,2,0,0,0
2006 602,2006,0,0,1,0,0,0
2006 603,2006,1,1,2,1,1,1
2006 604,2006,0,0,1,0,0,0
2006 605,2006,1,1,2,1,0,2
2006 606,2006,1,0,1,0,3,2
2006 607,2006,1,1,1,1,0,1
2006 608,2006,0,0,2,0,0,0
2006 609,2006,1,0,1,0,2,1
2006 610,2006,1,1,2,1,1,2
2006 611,2006,1,1,2,2,1,1
2006 612,2006,0,0,2,0,0,0
2006 613,2006,1,1,1,1,1,0
2006 614,2006,1,0,1,0,2,2
2006 615,2006,2,1,2,1,0,1
2006 616,2006,1,1,1,1,1,1
2006 617,2006,0,0,1,0,0,0
2006 618,2006,9,0,1,0,1,2
2006 619,2006,2,1,2,1,2,1
2006 620,2006,8,2,1,1,1,0
2006 621,2006,2,1,1,1,2,1
2006 622,2006,2,0,2,0,3,3
2006 623,2006,2,0,1,0,1,0
2006 624,2006,2,1,1,1,1,1
2006 625,2006,1,1,2,1,2,1
2006 626,2006,0,0,2,0,0,0
2006 627,2006,2,1,2,8,0,1
2006 628,2006,1,1,1,1,0,4
2006 629,2006,1,1,1,1,1,2
2006 630,2006,1,0,1,0,3,0
2006 631,2006,8,0,2,0,2,1
2006 632,2006,2,1,2,1,0,2
2006 633,2006,1,1,2,1,0,2
2006 634,2006,1,0,1,0,3,2
2006 635,2006,8,0,2,0,3,0
2006 636,2006,2,1,1,1,0,1
2006 637,2006,1,0,2,0,2,4
2006 638,2006,2,1,1,1,3,1
2006 639,2006,0,0,2,0,0,0
2006 640,2006,1,1,2,1,1,0
2006 641,2006,1,1,1,1,0,1
2006 642,2006,0,0,2,0,0,0
2006 643,2006,1,1,2,2,0,1
2006 644,2006,0,0,1,0,0,0
2006 645,2006,1,1,1,2,0,0
2006 646,2006,1,0,2,0,1,0
2006 647,2006,0,0,2,0,0,0
2006 648,2006,0,0,2,0,0,0
2006 649,2006,1,0,2,0,2,1
2006 650,2006,1,1,2,1,3,2
2006 651,2006,2,0,2,0,2,1
2006 652,2006,1,0,1,0,2,2
2006 653,2006,0,0,1,0,0,0
2006 654,2006,2,0,1,0,1,2
2006 655,2006,0,0,2,0,0,0
2006 656,2006,0,0,2,0,0,0
2006 657,2006,2,1,2,1,0,2
2006 658,2006,2,1,2,1,3,1
2006 659,2006,0,0,2,0,0,0
2006 660,2006,0,0,1,0,0,0
2006 661,2006,2,0,2,0,2,0
2006 662,2006,1,1,1,1,1,2
2006 663,2006,2,2,1,2,2,1
2006 664,2006,1,1,2,1,2,3
2006 665,2006,2,0,2,0,2,1
2006 666,2006,8,1,2,1,0,0
2006 667,2006,2,0,2,0,2,2
2006 668,2006,1,1,2,1,0,0
2006 669,2006,9,1,2,2,1,0
2006 670,2006,1,0,1,0,1,1
2006 671,2006,1,1,2,1,0,4
2006 672,2006,2,1,1,1,2,0
2006 673,2006,0,0,2,0,0,0
2006 674,2006,1,0,2,0,2,0
2006 675,2006,2,0,2,0,3,1
2006 676,2006,0,0,1,0,0,0
2006 677,2006,1,0,2,0,2,1
2006 678,2006,1,1,2,1,0,3
2006 679,2006,1,1,2,2,2,0
2006 680,2006,0,0,1,0,0,0
2006 681,2006,0,0,2,0,0,0
2006 682,2006,0,0,1,0,0,0
2006 683,2006,1,1,1,1,0,0
2006 684,2006,1,0,2,0,2,2
2006 685,2006,1,0,2,0,2,4
2006 686,2006,2,2,2,1,0,1
2006 687,2006,0,0,2,0,0,0
2006 688,2006,2,1,1,1,0,2
2006 689,2006,1,0,2,0,1,3
2006 690,2006,0,0,2,0,0,0
