"F","A","M","E","I","U"
11,49,12,0,"1","1"
17,44,14,4,"1","1"
8,40,16,0,"1","1"
8,38,17,0,"1","1"
9,38,17,8,"1","1"
2,35,16,0,"1","1"
0,47,23,0,"1","1"
7,37,15,1,"1","1"
7,42,24,7,"0","1"
6,36,20,12,"0","1"
4,35,22,6,"0","1"
0,39,23,8,"0","1"
4,40,22,5,"0","0"
12,40,10,0,"1","1"
2,48,16,0,"1","1"
1,44,13,0,"1","1"
4,40,30,2,"1","1"
9,47,22,8,"1","1"
8,47,20,8,"1","1"
7,43,12,4,"1","1"
6,36,19,8,"1","1"
6,38,17,5,"1","1"
4,38,21,14,"1","1"
6,43,17,6,"1","1"
3,35,19,3,"1","1"
5,46,22,8,"1","1"
4,35,16,6,"1","1"
5,40,12,0,"1","1"
4,48,15,0,"1","1"
2,47,22,0,"1","1"
2,37,25,0,"1","1"
6,37,17,0,"1","0"
11,46,15,6,"1","0"
7,48,17,1,"1","0"
9,35,17,5,"1","0"
6,37,15,6,"1","0"
3,37,21,0,"1","0"
7,38,20,6,"1","0"
5,41,18,0,"1","0"
12,48,15,0,"1","0"
6,43,13,7,"1","0"
1,37,31,3,"1","0"
11,49,18,6,"0","0"
7,38,21,8,"0","0"
8,36,14,8,"0","0"
2,36,30,8,"0","0"
8,41,19,7,"1","0"
11,43,13,6,"0","0"
3,48,23,8,"0","0"
5,38,18,6,"0","0"
6,40,16,4,"0","0"
4,37,20,7,"0","0"
7,40,17,4,"1","0"
6,41,18,3,"1","0"
6,45,16,5,"1","0"
4,43,12,8,"1","0"
4,35,13,4,"1","0"
1,38,15,0,"1","0"
8,35,15,4,"0","0"
6,36,19,6,"0","0"
2,45,20,4,"0","0"
4,37,23,6,"0","0"
0,45,18,4,"0","0"
3,40,17,7,"0","0"
15,45,15,0,"1","0"
9,39,14,0,"1","0"
11,48,13,0,"1","0"
4,38,10,0,"1","0"
6,38,24,4,"1","0"
5,45,13,0,"1","0"
4,40,21,0,"1","0"
2,35,22,4,"1","0"
9,46,23,0,"1","0"
12,46,13,0,"1","0"
3,43,19,0,"1","0"
7,40,15,0,"1","0"
4,42,16,0,"1","0"
13,42,15,0,"1","0"
12,40,12,0,"1","0"
0,35,15,0,"1","0"
14,42,16,0,"1","0"
9,48,18,0,"1","0"
3,42,23,0,"1","0"
9,39,17,5,"0","0"
7,42,21,8,"0","0"
5,46,26,6,"0","0"
8,45,20,6,"0","0"
0,45,24,5,"0","0"
10,48,17,8,"0","0"
1,35,18,5,"0","0"
0,38,17,8,"0","0"
2,38,30,5,"0","0"
7,42,21,5,"0","0"
8,38,16,2,"0","0"
7,46,25,6,"0","0"
9,39,13,0,"1","0"
8,42,14,0,"1","0"
7,44,20,4,"0","0"
0,42,38,8,"0","0"
6,43,17,4,"0","0"
2,47,20,6,"0","0"
7,39,15,6,"0","0"
10,39,16,6,"0","0"
8,36,17,6,"0","0"
3,40,19,5,"0","0"
3,41,20,5,"0","0"
1,38,30,6,"0","0"
3,38,24,0,"1","0"
7,40,15,0,"1","0"
10,40,21,7,"0","0"
2,37,16,4,"0","0"
3,35,21,11,"0","0"
7,43,19,9,"0","0"
4,43,28,6,"0","0"
6,39,22,5,"0","0"
3,41,20,10,"0","0"
1,45,23,4,"0","0"
0,35,25,11,"0","0"
8,36,14,3,"0","0"
12,35,19,4,"0","0"
3,44,19,5,"0","0"
6,36,21,5,"0","0"
7,44,16,0,"1","0"
3,36,19,0,"1","0"
6,36,24,6,"0","1"
7,37,16,6,"0","1"
6,39,18,3,"0","1"
1,38,18,5,"0","1"
6,43,23,7,"0","1"
9,44,17,3,"0","0"
4,37,25,4,"0","1"
5,40,20,7,"1","1"
7,45,14,0,"1","1"
8,45,16,6,"1","1"
3,47,18,0,"1","1"
5,38,18,8,"0","1"
3,45,25,4,"0","0"
6,43,15,4,"0","0"
11,39,16,2,"0","0"
7,38,22,5,"0","0"
9,41,17,5,"0","0"
9,44,15,6,"0","0"
5,44,26,4,"0","0"
2,45,20,7,"0","0"
8,42,21,3,"0","0"
6,48,23,5,"0","0"
6,39,20,8,"0","0"
14,44,20,3,"0","0"
0,35,19,8,"0","0"
4,45,22,6,"0","0"
0,36,26,4,"0","0"
5,44,22,7,"0","0"
7,38,25,5,"0","0"
8,36,18,7,"0","0"
8,47,21,5,"0","0"
6,39,14,4,"0","0"
10,36,14,4,"0","0"
6,40,32,4,"0","0"
8,36,16,8,"0","0"
5,43,19,7,"0","0"
7,43,22,4,"0","0"
9,45,16,4,"0","0"
2,36,31,6,"0","0"
1,39,15,6,"0","0"
1,45,29,4,"0","0"
5,44,18,7,"0","0"
2,46,21,6,"0","0"
3,35,21,8,"0","0"
5,39,19,4,"0","0"
7,47,26,5,"0","0"
5,38,20,8,"0","0"
5,35,22,6,"0","0"
12,36,15,4,"0","0"
8,42,17,4,"0","0"
10,39,24,6,"0","0"
8,35,16,6,"0","0"
7,42,23,8,"0","0"
4,38,23,4,"0","0"
10,40,14,5,"0","0"
1,47,16,0,"0","0"
2,38,21,6,"0","0"
8,41,17,8,"0","0"
8,45,19,6,"0","0"
8,47,17,4,"0","0"
6,35,18,6,"0","0"
0,42,25,5,"0","0"
1,37,26,5,"0","0"
9,46,16,0,"0","0"
0,38,22,4,"0","0"
9,46,13,8,"0","0"
10,48,17,5,"0","0"
0,46,17,7,"0","0"
6,38,18,7,"0","0"
10,43,19,8,"0","0"
4,38,20,8,"0","0"
9,43,22,8,"0","0"
5,42,18,5,"0","0"
6,40,26,6,"0","0"
0,41,22,4,"0","0"
9,35,15,3,"0","0"
6,42,18,5,"0","0"
6,48,22,6,"0","0"
3,37,30,4,"0","0"
3,36,21,15,"0","0"
6,42,23,4,"0","0"
7,37,18,8,"0","0"
9,43,13,4,"0","0"
7,41,23,4,"0","0"
11,41,20,4,"0","0"
7,46,17,5,"0","0"
8,49,21,7,"0","0"
3,41,19,4,"0","0"
3,45,22,4,"0","0"
7,35,18,6,"0","0"
10,37,16,6,"0","0"
6,35,25,5,"0","0"
9,41,16,7,"0","0"
10,42,22,6,"0","0"
8,38,19,5,"0","0"
9,41,16,6,"0","0"
4,38,22,8,"0","0"
6,38,25,7,"0","0"
8,41,22,6,"0","0"
0,39,20,7,"0","0"
9,45,18,3,"0","0"
7,40,15,0,"1","0"
3,38,34,5,"0","0"
7,35,17,6,"0","0"
10,36,13,8,"0","0"
0,43,19,5,"0","0"
6,42,16,8,"0","0"
0,46,29,4,"0","0"
8,48,21,5,"0","0"
0,40,20,7,"0","0"
8,38,20,8,"0","0"
4,38,17,8,"0","0"
5,44,27,8,"0","0"
7,39,22,7,"0","0"
9,42,18,5,"0","0"
8,46,20,4,"0","0"
10,46,18,8,"0","0"
8,36,21,8,"0","0"
6,41,16,8,"0","0"
0,47,20,5,"0","0"
9,43,18,7,"0","0"
6,36,18,6,"0","0"
5,47,14,6,"0","0"
2,45,30,4,"0","0"
7,36,16,5,"0","0"
5,49,15,20,"0","0"
8,37,15,6,"0","0"
5,35,21,6,"0","0"
5,38,16,5,"0","0"
4,42,24,6,"0","0"
1,38,20,8,"0","0"
8,48,21,8,"0","0"
4,37,22,15,"0","0"
0,49,14,4,"0","0"
7,35,22,6,"0","0"
6,38,16,6,"0","0"
6,35,20,5,"0","0"
7,38,21,0,"1","0"
7,36,22,6,"0","0"
15,49,14,0,"1","0"
3,41,24,0,"1","0"
3,40,21,0,"1","0"
7,41,13,0,"1","0"
2,41,15,0,"1","0"
7,48,12,0,"1","0"
11,46,14,0,"1","0"
6,45,14,0,"1","0"
0,35,26,0,"1","0"
0,41,13,0,"1","0"
11,39,15,0,"1","0"
10,40,14,0,"1","0"
3,45,16,0,"1","0"
9,40,15,0,"1","0"
7,36,15,5,"1","0"
13,45,15,0,"1","0"
4,43,18,0,"1","0"
7,39,13,0,"1","0"
10,38,14,0,"1","0"
11,44,14,0,"1","0"
5,35,19,2,"1","0"
7,39,15,3,"1","0"
8,36,12,0,"1","0"
0,47,14,0,"1","0"
7,39,16,0,"1","0"
8,37,16,0,"1","0"
6,36,18,2,"1","0"
9,37,14,0,"1","0"
9,46,16,0,"1","0"
3,46,14,0,"1","0"
3,40,13,0,"1","0"
11,40,16,0,"1","0"
11,43,15,0,"1","0"
3,43,19,4,"1","0"
5,37,19,0,"1","0"
4,40,14,0,"1","0"
10,45,9,0,"1","0"
9,37,16,8,"0","0"
2,38,14,0,"1","0"
7,42,19,0,"1","0"
7,48,13,0,"1","0"
